Name,Field,Type,Pos,Setpoint,Readback,Last Setpoint,Tolerance,Writable
FE_ISRC1:BEAM:A_BOOK,A_BOOK,PV,-1.0,36.0,36.0,36.0,0.01,True
FE_ISRC1:BEAM:Q_BOOK,Q_BOOK,PV,-1.0,10.0,10.0,10.0,0.01,True
FE_ISRC1:BEAM:Z_BOOK,Z_BOOK,PV,-1.0,18.0,18.0,18.0,0.01,True
FE_ISRC1:HVP_D0679:V,V,PV,67.9,15000.0,14972.563,15000.0,0.01,False
FE_ISRC1:PSX_D0679:V,V,PV,67.9,0.0,0.0,0.0,0.01,False
FE_ISRC1:PSB_D0679:V,V,PV,67.9,-36.0,-36.01,-42.0,0.01,False
FE_ISRC1:PSEL_D0679:V,V,PV,67.9,0.0,2000.0,0.0,0.01,False
FE_ISRC1:PSOL_D0682:I,I,PV,68.2,453.0,450.806,454.0,0.01,False
FE_ISRC1:PSOL_D0685:I,I,PV,68.5,488.0,487.94,487.0,0.01,False
FE_ISRC1:DRV_D0686:POS,POS,PV,68.6,0.0,39.896,0.0,0.01,True
FE_ISRC1:PSE_D0686:V,V,PV,68.6,-400.0,-395.866,-400.0,0.01,False
FE_ISRC1:SOLR_D0690:I,I,PV,69.0,81.45,81.374,81.45,0.01,True
FE_ISRC1:DCV_D0695:I,I,PV,69.5,-0.0,0.0,-0.0,0.01,True
FE_ISRC1:DCH_D0695:I,I,PV,69.5,0.0,0.0,0.0,0.01,True
FE_ISRC1:PSEL_D0698:V,V,PV,69.8,-2000.0,-2000.104,-2000.0,0.01,False
FE_ISRC1:HVP_D0698:V,V,PV,69.8,28201.0,28207.6,28201.0,0.01,False
FE_SCS1:SOLR_D0704,I,SOL,70.207,0.0,0.0,0.0,0.05,True
FE_SCS1:DCH_D0709,I,HCOR,70.9469,-1.3,-1.3,-1.3,0.05,True
FE_SCS1:DCV_D0709,I,VCOR,70.9469,0.46,0.467,0.46,0.05,True
FE_SCS1:DH_D0717,I,BEND,71.1819,58.491,58.56,58.491,0.1,True
FE_SCS1:DCH_D0723,I,HCOR,72.3442,-0.3,-0.304,-0.3,0.05,True
FE_SCS1:DCV_D0723,I,VCOR,72.3442,-0.1,-0.105,-0.1,0.05,True
FE_SCS1:QHE_D0726,V,EQUAD,72.5293,2737.7,2737.703,2737.7,0.1,True
FE_SCS1:QVE_D0730,V,EQUAD,72.8643,-3771.1,-3771.067,-3771.1,0.1,True
FE_SCS1:QHE_D0733,V,EQUAD,73.1993,1377.4,1377.361,1377.4,0.1,True
FE_SCS1:STPC01_D0736:SLR.VAL,SLR.VAL,PV,73.6,20.0,20.0,20.0,0.01,True
FE_SCS1:STPC01_D0736:SLL.VAL,SLL.VAL,PV,73.6,8.0,8.0,8.0,0.01,True
FE_SCS1:STPC01_D0736:SLB.VAL,SLB.VAL,PV,73.6,30.002,30.002,30.002,0.01,True
